Transformation,Model,Adj R2 (Train),Adj R2 (Test),F Statistic,Durbin Watson,Jarque Bera,Anderson Darling (Train),Anderson Darling (Test),White's (Train),AIC,BIC
ln^2(x),GLS,0.836434749889076,0.7585590822918249,3.6e-322,1.9727974515080415,8.150913972155921e-09,0.014587962798810665,0.05380993671217573,1.4124757400469985e-07,5874.63935242556,6111.826132360706
x^-2,GLM,0.9954829386656112,,,1.9650315700661172,0.0,0.0,0.0,4.981278548307359e-21,-39042.25672821181,-5847.573358506818
x^-3/2,GLM,0.9959222451525044,,,1.9614850765045089,0.0,0.0,1.8908161437190123e-24,4.6312306008634246e-20,-29473.335942258575,-5939.33787923838
x^-1,GLM,0.9959858246445501,,,1.9586834289532604,2.0319561944134167e-276,0.0,1.0111941236927858e-10,9.788280548177883e-18,-20120.224337334486,-6006.152994947389
x^-1/2,GLM,0.9956123253189638,,,1.9609549769191055,1.0564970772178444e-15,4.3225029789454894e-07,0.0016230013987459397,7.943091241148112e-12,-11300.840768186172,-6046.936721762108
x^-1/3,GLM,0.9953689600248585,,,1.9632510824790348,0.0005031686019137172,0.008958838573403434,0.03128469771297259,3.1768156286587055e-09,-8686.267832017547,-6054.5761525861235
x^-1/4,GLM,0.9952209410840833,,,1.964596551477029,0.027917555472784503,0.09832890923584586,0.08882437508705857,3.491965849939513e-08,-7537.656185137421,-6057.260354731553
x^-1/5,GLM,0.9951230396243896,,,1.965442491927549,0.06138576633215185,0.201991754605103,0.12549489534066136,1.0250128796055469e-07,-6942.92919486531,-6058.505232394053
ln(x),GLM,0.9948905790614634,,,1.9638572434600712,1.4726467227737412e-05,0.058589625247781184,0.10616441119497043,2.2839993045419309e-07,113.0777365913782,-6060.247814605179
x^0.09,GLM,0.9943907902449856,,,1.9704171928861671,2.748222815232561e-10,0.007818677646986209,0.04285402527624486,9.038932734297714e-08,-2380.2401118673006,-6060.225341174741
x^1/5,GLM,0.9940555687611583,,,1.9719570086037557,1.1811915288111733e-22,8.186687554074543e-05,0.005605204747922929,1.122426154321448e-08,1154.8061168232807,-6058.4890739931
x^1/4,GLM,0.9938813218264639,,,1.9726095444587275,2.82098370809379e-32,3.858580917519156e-06,0.001611921801933774,3.5016378823990124e-09,2584.5273171831645,-6057.228803532694
